pair_key,pair_instance_index,theme_guess,pairing_method,eo_filename,ir_filename,eo_duration_seconds,ir_duration_seconds,duration_delta_seconds,eo_fps,ir_fps,eo_frame_count,ir_frame_count,eo_resolution,ir_resolution,eo_path,ir_path,eo_file_size_bytes,ir_file_size_bytes,eo_bitrate_mbps,ir_bitrate_mbps,eo_duration_source,ir_duration_source,eo_metadata_error,ir_metadata_error
large airplane,1,Large Airplane,exact,Large Airplane_EO.ts,Large Airplane_IR.ts,145.746,144.328,1.418,59.94,59.94,8736,8651,1280x720,1280x720,/media/storage/raw/maritime/Large Airplane_EO.ts,/media/storage/raw/maritime/Large Airplane_IR.ts,163346996,161582428,8.966,8.956,header,header,,
logging truck,1,Logging Truck,exact,Logging.Truck_EO.ts,Logging.Truck_IR.ts,95.712,91.525,4.188,59.94,59.94,5737,5486,1280x720,1280x720,/media/storage/raw/maritime/Logging.Truck_EO.ts,/media/storage/raw/maritime/Logging.Truck_IR.ts,106741136,102167284,8.922,8.93,header,header,,
parked car,1,Parked Car,exact,Parked.Car_EO.ts,Parked.Car_IR.ts,79.079,78.662,0.417,59.94,59.94,4740,4715,1280x720,1280x720,/media/storage/raw/maritime/Parked.Car_EO.ts,/media/storage/raw/maritime/Parked.Car_IR.ts,88543300,87945084,8.957,8.944,header,header,,
parked car,2,Parked Car,exact,Parked.car_EO.ts,Parked.car_IR.ts,89.423,86.303,3.12,59.94,59.94,5360,5173,1280x720,1280x720,/media/storage/raw/maritime/Parked.car_EO.ts,/media/storage/raw/maritime/Parked.car_IR.ts,99708620,96284576,8.92,8.925,header,header,,
passenger bus,1,Passenger Bus,exact,Passenger.Bus_EO.ts,Passenger.Bus_IR.ts,98.198,98.282,0.083,59.94,59.94,5886,5891,1280x720,1280x720,/media/storage/raw/maritime/Passenger.Bus_EO.ts,/media/storage/raw/maritime/Passenger.Bus_IR.ts,109361292,109964772,8.909,8.951,header,header,,
power boat,1,Power Boat,exact,Power.Boat_EO.ts,Power.Boat_IR.ts,171.555,168.368,3.187,59.94,59.94,10283,10092,1280x720,1280x720,/media/storage/raw/maritime/Power.Boat_EO.ts,/media/storage/raw/maritime/Power.Boat_IR.ts,192330016,188469812,8.969,8.955,header,header,,
rcn ships 1,1,Rcn Ships 1,exact,RCN.Ships.1_EO.ts,RCN.Ships.1_IR.ts,171.204,168.118,3.086,59.94,59.94,10262,10077,1280x720,1280x720,/media/storage/raw/maritime/RCN.Ships.1_EO.ts,/media/storage/raw/maritime/RCN.Ships.1_IR.ts,191055376,187698448,8.928,8.932,header,header,,
rcn ships 2,1,Rcn Ships 2,exact,RCN.Ships.2_EO.ts,RCN.Ships.2_IR.ts,94.845,90.157,4.688,59.94,59.94,5685,5404,1280x720,1280x720,/media/storage/raw/maritime/RCN.Ships.2_EO.ts,/media/storage/raw/maritime/RCN.Ships.2_IR.ts,105690780,100537700,8.915,8.921,header,header,,
sailboat,1,Sailboat,exact,Sailboat_EO.ts,Sailboat_IR.ts,137.387,135.302,2.085,59.94,59.94,8235,8110,1280x720,1280x720,/media/storage/raw/maritime/Sailboat_EO.ts,/media/storage/raw/maritime/Sailboat_IR.ts,153299524,150797244,8.927,8.916,header,header,,
sailboat 2,1,Sailboat 2,exact,Sailboat.2_EO.ts,Sailboat.2_IR.ts,88.889,88.789,0.1,59.94,59.94,5328,5322,1280x720,1280x720,/media/storage/raw/maritime/Sailboat.2_EO.ts,/media/storage/raw/maritime/Sailboat.2_IR.ts,99301600,99409324,8.937,8.957,header,header,,
sailboat 3,1,Sailboat 3,exact,Sailboat.3_EO.ts,Sailboat.3_IR.ts,84.585,85.152,0.567,59.94,59.94,5070,5104,1280x720,1280x720,/media/storage/raw/maritime/Sailboat.3_EO.ts,/media/storage/raw/maritime/Sailboat.3_IR.ts,94570580,95016328,8.944,8.927,header,header,,
sailboat 4,1,Sailboat 4,exact,Sailboat.4_EO.ts,Sailboat.4_IR.ts,94.845,95.095,0.25,59.94,59.94,5685,5700,1280x720,1280x720,/media/storage/raw/maritime/Sailboat.4_EO.ts,/media/storage/raw/maritime/Sailboat.4_IR.ts,105956048,106215112,8.937,8.935,header,header,,
salt barg,1,Salt Barg,exact,Salt.Barg_EO.ts,Salt.Barg_IR.ts,104.955,97.531,7.424,59.94,59.94,6291,5846,1280x720,1280x720,/media/storage/raw/maritime/Salt.Barg_EO.ts,/media/storage/raw/maritime/Salt.Barg_IR.ts,117506048,109182976,8.957,8.956,header,header,,
sea plane,1,Sea Plane,exact,Sea.Plane_EO.ts,Sea.Plane_IR.ts,89.99,204.404,114.414,59.94,59.94,5394,12252,1280x720,1280x720,/media/storage/raw/maritime/Sea.Plane_EO.ts,/media/storage/raw/maritime/Sea.Plane_IR.ts,100712448,100696064,8.953,3.941,header,header,,
small aircraft,1,Small Aircraft,exact,Small Aircraft_EO.ts,Small Aircraft_IR.ts,70.387,66.883,3.504,59.94,59.94,4219,4009,1280x720,1280x720,/media/storage/raw/maritime/Small Aircraft_EO.ts,/media/storage/raw/maritime/Small Aircraft_IR.ts,78774444,75113708,8.953,8.984,header,header,,
small airplane,1,Small Airplane,exact,Small.Airplane_EO.ts,Small.Airplane_IR.ts,110.844,110.227,0.617,59.94,59.94,6644,6607,1280x720,1280x720,/media/storage/raw/maritime/Small.Airplane_EO.ts,/media/storage/raw/maritime/Small.Airplane_IR.ts,124096920,123222156,8.957,8.943,header,header,,
small airplane 2,1,Small Airplane 2,exact,Small.Airplane.2_EO.ts,Small.Airplane.2_IR.ts,101.618,102.219,0.601,59.94,59.94,6091,6127,1280x720,1280x720,/media/storage/raw/maritime/Small.Airplane.2_EO.ts,/media/storage/raw/maritime/Small.Airplane.2_IR.ts,113925744,114407776,8.969,8.954,header,header,,
suv w trailer,1,Suv W Trailer,exact,SUV.W.Trailer_EO.ts,SUV.W.Trailer_IR.ts,96.179,94.361,1.818,59.94,59.94,5765,5656,1280x720,1280x720,/media/storage/raw/maritime/SUV.W.Trailer_EO.ts,/media/storage/raw/maritime/SUV.W.Trailer_IR.ts,107207564,105179608,8.917,8.917,header,header,,
tanker,1,Tanker,exact,Tanker_EO.ts,Tanker_IR.ts,126.693,118.385,8.308,59.94,59.94,7594,7096,1280x720,1280x720,/media/storage/raw/maritime/Tanker_EO.ts,/media/storage/raw/maritime/Tanker_IR.ts,141168072,131967164,8.914,8.918,header,header,,
tanker horizon,1,Tanker Horizon,exact,Tanker_Horizon_EO.ts,Tanker_Horizon_IR.ts,254.387,254.387,0.0,59.94,59.94,15248,15248,1280x720,1280x720,/media/storage/raw/maritime/Tanker_Horizon_EO.ts,/media/storage/raw/maritime/Tanker_Horizon_IR.ts,283109952,283171804,8.903,8.905,header,header,,
terasense red boat,1,Terasense Red Boat,exact,TeraSense.Red.Boat_EO.ts,TeraSense.Red.Boat_IR.ts,522.706,522.822,0.117,59.94,59.94,31331,31338,1280x720,1280x720,/media/storage/raw/maritime/TeraSense.Red.Boat_EO.ts,/media/storage/raw/maritime/TeraSense.Red.Boat_IR.ts,584554040,584540316,8.947,8.944,header,header,,
terasense truck,1,Terasense Truck,exact,TeraSense.Truck_EO.ts,TeraSense.Truck_IR.ts,160.26,161.261,1.001,59.94,59.94,9606,9666,1280x720,1280x720,/media/storage/raw/maritime/TeraSense.Truck_EO.ts,/media/storage/raw/maritime/TeraSense.Truck_IR.ts,179557672,180837576,8.963,8.971,header,header,,
tug w barges,1,Tug W Barges,exact,Tug.W.Barges_EO.ts,Tub.W.Barges_IR.ts,152.436,148.482,3.954,59.94,59.94,9137,8900,1280x720,1280x720,/media/storage/raw/maritime/Tug.W.Barges_EO.ts,/media/storage/raw/maritime/Tub.W.Barges_IR.ts,170702872,166342588,8.959,8.962,header,header,,
utility van,1,Utility Van,exact,Utility.Van_EO.ts,Utility.Van_IR.ts,94.311,93.86,0.45,59.94,59.94,5653,5626,1280x720,1280x720,/media/storage/raw/maritime/Utility.Van_EO.ts,/media/storage/raw/maritime/Utility.Van_IR.ts,105288460,104810376,8.931,8.933,header,header,,
yachts,1,Yachts,exact,Yachts_EO.ts,Yachts_IR.ts,104.605,102.202,2.402,59.94,59.94,6270,6126,1280x720,1280x720,/media/storage/raw/maritime/Yachts_EO.ts,/media/storage/raw/maritime/Yachts_IR.ts,116442876,113907884,8.905,8.916,header,header,,
